name,avgscore
christopher landon,37.5
christopher lap-key sun,36.0
christopher leitch,8.0
christopher livingston,36.0
christopher mcquarrie,58.0
christopher menaul,22.0
christopher miller,72.25
christopher morris,68.0
christopher munch,48.5
christopher n. rowley,46.0
christopher neil,38.0
christopher nolan,73.55555555555556
christopher redmond,58.0
christopher reeve,51.0
christopher scott cherot,42.0
christopher smith,61.666666666666664
christopher spencer,37.0
christopher zalla,56.0
chuan lu,81.0
chuck parello,42.0
chuck russell,44.6
chuck sheetz,43.0
chuck workman,66.0
ciaran foy,46.0
cindy kleine,47.0
cindy meehl,76.0
claire burger,69.0
claire denis,74.625
clare kilner,38.5
clare lewins,55.0
clare peploe,58.0
clarence yiu-leung fok,47.0
clark gregg,49.0
clark johnson,47.0
claude berri,64.5
claude chabrol,71.83333333333333
claude lanzmann,89.5
claude lelouch,62.5
claude miller,60.333333333333336
claude sautet,84.0
claudia llosa,51.0
claudia myers,38.0
claudia sainte-luce,69.0
claudio fah,50.0
clay jeter,71.0
clay tweel,59.0
clement michel,20.0
clementine isaac,58.0
clif prowse,56.0
clint eastwood,67.3103448275862
clio barnard,85.5
clive barker,57.0
clyde geronimi,85.0
cody cameron,59.0
colette burson,46.0
coley sohn,51.0
colin brady,51.0
colin cairnes,63.0
colin higgins,58.0
colin minihan,35.5
colin nutley,60.0
colin strause,27.5
colin trevorrow,65.5
coline serreau,81.0
collin schiffli,71.0
connie stevens,24.0
conor allyn,35.0
conor horgan,66.0
conor mcpherson,67.0
conrad jackson,40.0
conrad rooks,80.0
conrad vernon,63.666666666666664
constance marks,71.0
constantin popescu,68.0
coralie,35.0
corey yuen,51.666666666666664
corneliu porumboiu,75.0
cory edwards,45.0
cory mcabee,51.0
cory shiozaki,52.0
costa-gavras,59.0
courteney cox,24.0
courtney hunt,82.0
courtney solomon,24.666666666666668
craig bolotin,43.0
craig brewer,55.0
craig gillespie,57.75
craig goodwill,29.0
craig highberger,71.0
craig johnson,65.5
craig lucas,62.0
craig m. saavedra,43.0
craig mazin,35.5
craig mccall,71.0
craig mccracken,65.0
craig rosenberg,47.0
craig ross jr.,41.0
craig teper,63.0
craig william macneill,45.0
craig zisk,42.0
craig zobel,69.33333333333333
crayton robey,71.0
cristi puiu,75.0
cristian jimenez,65.0
cristian mungiu,81.33333333333333
cristina bocchialini,58.0
crystal moselle,75.0
cullen hoback,68.0
curt hahn,25.0
curtis hanson,63.5
curtiss clayton,52.0
cyril tuschi,73.0
cyrus nowrasteh,50.0
d. kerry prior,57.0
d. ze'ev gilad,31.0
d.a. pennebaker,69.75
d.j. caruso,44.285714285714285
d.m.w. greer,29.0
dagur kari,54.0
daisy von scherler mayer,50.0
dallas richard hallam,37.0
dalton trumbo,71.0
damani baker,76.0
damian harris,49.5
damian lee,31.0
damian nieman,40.0
damian szifron,77.0
damien chazelle,86.0
damien dante wayans,40.0
damien o'donnell,66.5
damon beesley,55.0
damon dash,41.0
damon gameau,56.0
damon santostefano,36.0
dan beers,34.0
dan bradley,31.0
dan bush,63.0
dan carracino,69.0
dan cohen,78.0
