name,avgscore
anna neistat,66.0
anna paquin,59.25
anna popplewell,71.0
anna proclemer,100.0
anna rust,51.0
anna simpson,71.5
anna siskova,69.0
anna tsuchiya,56.0
anna tydlitatova,45.0
anna wilson-jones,72.0
anna wing,66.0
anna wintour,60.0
annabel chong,37.0
annabel kershaw,65.0
annabel linder,19.0
annabella sciorra,57.25
annabelle apsion,68.0
annabelle wallis,37.0
annabeth barnes,78.0
annabeth gish,55.25
annalee jefferies,63.0
annalise basso,40.0
annasophia robb,54.0
anne alvaro,78.0
anne archer,53.142857142857146
anne bancroft,58.714285714285715
anne bartoletti,80.0
anne baxter,98.0
anne beatts,51.0
anne bellamy,28.0
anne bennent,77.5
anne brochet,61.0
anne clarke,45.0
anne consigny,73.8
anne day-jones,38.0
anne dorval,73.66666666666667
anne dudek,54.0
anne francis,89.0
anne gee byrd,63.0
anne hathaway,50.666666666666664
anne heche,51.18181818181818
anne joyce,74.0
anne kathryn parma,75.0
anne le ny,57.0
anne louise hassing,47.0
anne marivin,67.0
anne meara,44.0
anne murray,64.0
anne parillaud,59.5
anne pitoniak,71.0
anne ramsey,56.0
anne reid,61.5
anne suzuki,48.666666666666664
anne sørensen,78.0
anne vernon,86.0
anne wiazemsky,100.0
anne yernaux,76.0
anne-marie cadieux,76.0
anne-marie duff,68.5
anne-marie martin,45.0
anne-renee duhaime,79.0
anneke schwabe,76.0
annette bening,57.59090909090909
annette hanshaw,93.0
annette o'toole,66.5
anni lampl,67.0
anni-kristiina juuso,69.0
annie allix,89.0
annie corley,66.0
annie girardot,82.0
annie golden,59.5
annie mcenroe,69.0
annie neal,40.0
annie parisse,50.0
annie potts,50.5
annie rose buckley,65.0
annie ryan,36.0
annie shizuka inoh,36.0
annika hallin,60.0
annika kuhl,51.0
annika wedderkopp,77.0
annmarie fulton,86.0
anny mariano,66.0
anon2world,66.0
anonymous,83.0
anonyops,66.0
anouk aimee,59.333333333333336
ansel elgort,69.0
anselm kiefer,66.0
anselme baud,58.0
anson mount,46.4
anthony 'treach' criss,50.0
anthony albano,18.0
anthony anderson,36.09090909090909
anthony arkin,50.5
anthony barrile,46.0
anthony baxter,57.0
anthony borrows,74.0
anthony brunelli,74.0
anthony carboni,73.0
anthony chan,53.0
anthony chau-sang wong,62.666666666666664
anthony clark,31.0
anthony desando,47.0
anthony diaz,70.0
anthony edwards,49.22222222222222
anthony franciosa,48.0
anthony head,32.0
anthony hopkins,54.44827586206897
anthony howard,66.0
anthony john crane,62.0
anthony lapaglia,48.8
anthony lucero,77.0
anthony mackie,52.90909090909091
anthony michael hall,60.666666666666664
anthony nichols,19.0
anthony okungbowa,77.0
anthony perkins,75.5
anthony piccininni,66.0
anthony quinn,100.0
anthony ramirez,72.0
anthony rapp,49.0
anthony ray parker,45.0
anthony rey,22.0
anthony ruivivar,71.0
anthony saidy,76.0
anthony tom,78.0
anthony watson,85.0
anthony welsh,71.0
antje traue,28.0
antoine bertrand,49.0
antoine byrne,69.0
antoine chappey,86.0
antoine laurent,63.0
antoine olivier pilon,74.0
anton adasinsky,65.0
anton corbijn,54.0
anton newcombe,76.0
anton rodgers,68.0
anton shagin,67.0
anton yelchin,54.09090909090909
antonia bill,70.0
antonia campbell-hughes,54.5
antonia clarke,54.0
antonia corrigan,47.0
antonia san juan,87.0
antonia thomas,64.0
antonia truppo,72.0
antonia zegers,72.5
antonio albanese,69.0
antonio banderas,50.291666666666664
antonio canales,64.0
antonio carnevale,63.0
antonio catania,68.0
antonio cupo,46.0
antonio de la torre,64.66666666666667
antonio dechent,69.5
antonio dos santos,67.0
antonio el pipa,73.0
antonio fagundes,57.0
antonio fargas,53.5
antonio frasca,77.0
antonio gil,64.0
antonio jose dos santos,78.0
antonio mancino,80.0
antonio mendoza,86.0
antonio naharro,56.0
antonio tarver,63.0
antony acker,29.0
antony langdon,48.0
antony sher,71.0
antony starr,60.0
antron mccray,79.0
antwon tanner,38.0
anupam kher,54.0
anurag arora,72.0
anushka sharma,46.0
anwar congo,89.0
anya auerbach,79.0
anzu lawson,53.0
aoi miyazaki,74.5
aoi tada,61.0
aoi teshima,47.0
aomawa baker,80.0
aorere paki,72.0
apisit opasaimlikit,60.0
apollonia kotero,55.0
april l. hernandez,67.0
april yvette thompson,76.0
ara guler,72.0
